runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,root g value,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name
0.003802,17,33,518,1340,95,87,0.000728,0.000207,0.000288,0.001608,0.003216,0.000251,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.003805,17,33,518,1340,95,87,0.000745,0.000203,0.000282,0.001617,0.003243,0.000271,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.003783,17,33,518,1340,95,87,0.000732,0.000197,0.00028,0.001595,0.003212,0.000254,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.003846,17,33,518,1340,95,87,0.000738,0.000206,0.000289,0.001637,0.003282,0.000248,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.003824,17,33,518,1340,95,87,0.000716,0.000207,0.000275,0.001631,0.003257,0.000253,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.003998,17,33,518,1340,95,87,0.00079,0.000223,0.00028,0.001675,0.003374,0.000274,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.003774,17,33,518,1340,95,87,0.000732,0.000214,0.000267,0.001593,0.003216,0.000249,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.004558,17,33,518,1340,95,87,0.000807,0.00023,0.00035,0.001958,0.003778,0.000247,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.003655,17,33,518,1340,95,87,0.000692,0.000187,0.000257,0.001533,0.003083,0.000372,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/empty-8-8-random-17.scen
0.046322,20,39,8065,27633,4065,4061,0.004159,0.000554,0.005458,0.017864,0.025802,0.051077,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-even-23.scen
0.005673,1,1,1888,5294,1878,1878,1.5e-05,0,0,0,0,0.02703,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/maze-128-128-10-random-9.scen
0.085253,7,13,21719,59228,6879,6873,0.001008,0.000843,0.005521,0.044107,0.045757,0.097518,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ost003d-random-11.scen
0.012655,1,1,2859,7593,2849,2849,2e-05,0,0,0,0,0.085523,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/Paris_1_256-even-24.scen
0.730415,50,99,165015,551229,11303,11266,0.008666,0.042249,0.060566,0.607216,0.632222,0.137305,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/lak303d-even-19.scen
0.01979,5,9,4194,9812,1203,1202,0.000133,0.000521,0.00113,0.010536,0.010801,0.01586,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_chantry-random-3.scen
0.010398,4,7,2515,7521,2109,2109,0.000403,8.4e-05,0.000519,0.00167,0.002296,0.031096,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-10-even-3.scen
0.115269,43,85,23781,66678,5238,5201,0.0108,0.002807,0.013918,0.063925,0.086101,0.058118,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-even-21.scen
0.007267,1,1,1009,2907,957,957,1e-05,0,0,0,0,0.018817,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ht_mansion_n-random-6.scen
0.576487,14,27,104867,296864,15619,15600,0.002353,0.007381,0.048211,0.357894,0.362842,0.257871,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/brc202d-even-12.scen
0.04938,24,47,8185,26745,3570,3560,0.004951,0.00065,0.005448,0.019092,0.029055,0.047815,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/random-64-64-20-random-14.scen
0.071316,7,13,13139,39552,5072,5063,0.00077,0.001051,0.00501,0.030678,0.031982,0.079052,PBS with SIPP,/home/harshit/Code/MAPFAST/scenes/ost003d-random-7.scen
